"borough","communityboard","councildistrict","parkdistrict","gispropnum","location","name","omppropid","system","polygon","pooltype"
"B","306","38","B-06","B126","Outdoor","Red Hook Wading Pool","B126","B126-POOL-0025","POLYGON ((-74.00361401114736 40.673058856678175, -74.00368831661171 40.67303559941811, -74.00375402229113 40.67305356797231, -74.0037816267642 40.67310469471345, -74.003760220552 40.67315007056953, -74.00377368509767 40.673175008993546, -74.00391941886005 40.673214862719874, -74.00398038384265 40.67308562770627, -74.00395952630666 40.6730469945272, -74.00353256330345 40.67293023233157, -74.00349209545244 40.67294289841152, -74.00342728617069 40.67308027844222, -74.00356598802738 40.67311820932566, -74.00358948039415 40.67311085678992, -74.00361401114736 40.673058856678175))","Wading"
"X","202","17","X-02","X307","Outdoor","Floating Pool","X307","X307-POOL-0028","POLYGON ((-73.8889859664428 40.804149906408306, -73.88880872591743 40.804109002403735, -73.88873679957658 40.80428895902223, -73.88891404053844 40.80432986223572, -73.8889859664428 40.804149906408306))","Intermediate"
"B","301","34","B-01","B310","Outdoor","Bushwick Wading Pool","B310","B310-POOL-0022","POLYGON ((-73.93984138673747 40.70191944164836, -73.93983217504717 40.701842179200504, -73.9397593296459 40.701847209180144, -73.9397685400693 40.70192447163313, -73.93984138673747 40.70191944164836))","Wading"
"M","164","6","M-13","M010","Outdoor","Lasker Pool","M010-ZN41","M010-POOL-0002","POLYGON ((-73.95463274927891 40.7961714814837, -73.95459678205478 40.79617317737088, -73.95457992294777 40.79617487807652, -73.95456193757623 40.79617743381051, -73.95454507669876 40.796179989084656, -73.95452709369499 40.79618254391364, -73.95451023104543 40.79618595465683, -73.95447650812896 40.79619448258393, -73.95445964549076 40.79619960066738, -73.95444390616028 40.796204719192325, -73.95442704411747 40.79621069094511, -73.95441130538158 40.79621666404016, -73.95439556487317 40.79622349080621, -73.95436633402262 40.796237146123225, -73.95435171741529 40.79624482700203, -73.95433710021781 40.79625336335359, -73.95431011480565 40.796270435141615, -73.9542966215077 40.79627982560732, -73.95427188152428 40.79629860742527, -73.95424938934855 40.796319096577264, -73.95423814148279 40.79633019617545, -73.95421789592051 40.79635239626217, -73.95420889645268 40.79636435042427, -73.95420102206704 40.79637545135887, -73.9541920214081 40.79638740551914, -73.95418526915498 40.796400215146654, -73.95417739298802 40.796412170653205, -73.9541717652286 40.79642498072693, -73.9541650129677 40.796437790353245, -73.95416050851887 40.796450599972545, -73.954154879568 40.796463410044915, -73.95415149961471 40.796476221011545, -73.95414811788723 40.796489885651184, -73.95414473793194 40.79650269571709, -73.95414022228611 40.796530026790535, -73.95413909014374 40.79654283865096, -73.95413907131447 40.79657017061279, -73.95414130030352 40.79659750436923, -73.95414353929674 40.79661031757077, -73.95414577770285 40.79662398444579, -73.95414689925504 40.7966265477143, -73.9541480225815 40.79662825550869, -73.95414914413323 40.796630819677695, -73.95415026745982 40.79663252747206, -73.95416150186406 40.79664107318058, -73.95416487241377 40.79664192909517, -73.95417611151596 40.79664193356382, -73.95418622553662 40.79664450040656, -73.95418959549941 40.79664620999397, -73.95419296723537 40.79664706500776, -73.95419970716168 40.79665048418214, -73.9542019544042 40.79665304789735, -73.95420420104986 40.796654757038056, -73.95420869316649 40.79665988356686, -73.9542120602035 40.79666757157039, -73.9542131811712 40.796670989412284, -73.95421317529654 40.79667953065016, -73.95421205021543 40.79668209302559, -73.9542120484533 40.796684654946716, -73.95420866613983 40.79669917416171, -73.95423337986475 40.79671882927965, -73.95425923041154 40.796717130392224, -73.95427159403035 40.79671713529778, -73.95427496458538 40.79671799120919, -73.9542794608294 40.796718847566964, -73.95428283138517 40.79671970257761, -73.95428732644451 40.79672055893466, -73.95429743872317 40.79672568678819, -73.95430305594195 40.79672996008557, -73.95430754807064 40.796735087510974, -73.9543097935499 40.79673850399663, -73.95431203961472 40.796741067709206, -73.95431316177375 40.79674448555056, -73.95431428333565 40.79674704701641, -73.95431427981802 40.796752172659566, -73.95431540196532 40.796753881352366, -73.95431540079299 40.79675558959994, -73.95431652294039 40.79675729829267, -73.95431652235456 40.796758151966245, -73.9543187690188 40.79676157025317, -73.9543210162575 40.79676242481753, -73.95432213840576 40.796764132609724, -73.95432326232356 40.79676498852988, -73.95432775680072 40.79676669855886, -73.95432888071863 40.79676755447892, -73.95433337401245 40.796769262706185, -73.95433562302212 40.79676926359719, -73.95437158706108 40.79677269433532, -73.95438956788946 40.79677355602592, -73.9544423935516 40.79677357691674, -73.95446037731928 40.79677187577522, -73.95447836168721 40.79677102830485, -73.9544963460368 40.79676847348415, -73.95451320529689 40.79676677189046, -73.95453119141261 40.79676336249072, -73.95454805302239 40.79675995174431, -73.95456603794895 40.796756543239226, -73.9545829001377 40.79675227881419, -73.95459976172211 40.796747159812185, -73.95461550116819 40.79674204216686, -73.95463236393248 40.796736923160566, -73.9546481027709 40.79673095093626, -73.95467958278842 40.796717296433165, -73.95469419769506 40.79671047008692, -73.95470993768448 40.79670278870608, -73.95472455435164 40.796695106881906, -73.95475154101459 40.79667803499848, -73.95476503551406 40.79666864448057, -73.95477740432118 40.79665925441991, -73.95478977489071 40.79664900888382, -73.95480214487621 40.79663961792046, -73.95481339033032 40.79662851826686, -73.95482463638513 40.79661827408715, -73.95483588420232 40.796607173531754, -73.95484488301078 40.79659607389525, -73.95485500571255 40.796584120123896, -73.9548640057009 40.796573018685294, -73.95487188234162 40.79656021035907, -73.95488763327211 40.79653630105165, -73.9548943854045 40.79652349048276, -73.95491126946793 40.796485061956865, -73.95491465103851 40.79647139729483, -73.95491915652981 40.79645858584556, -73.95492253691246 40.796444921182776, -73.9549270510458 40.796417590978365, -73.9549281836124 40.79640392543632, -73.95492819228703 40.79639111312864, -73.95463274927891 40.7961714814837))","Olympic"
"Q","412","27","Q-12","Q121","Outdoor","Liberty Pool","Q121","Q121-POOL-0009","POLYGON ((-73.78408764500973 40.70163161256614, -73.78403648885387 40.70146783905102, -73.78376554851617 40.701519815057594, -73.78381784659886 40.70168263809354, -73.78408764500973 40.70163161256614))","Intermediate"
"Q","412","27","Q-12","Q121","Outdoor","Liberty Wading Pool","Q121","Q121-POOL-0008","POLYGON ((-73.78414816132184 40.70181829198834, -73.78412140214905 40.701732761353476, -73.78404559954326 40.70174809900152, -73.78407338871072 40.7018323312432, -73.78414816132184 40.70181829198834))","Wading"
"M","109","7","M-09","M190","Outdoor","Sheltering Arms Pool","M190","M190-POOL-0029","POLYGON ((-73.95582714943274 40.81486222095009, -73.9556782959823 40.81469006891667, -73.95549865332038 40.81478302377666, -73.95564138376217 40.81495827499603, -73.95582714943274 40.81486222095009))","Intermediate"
"B","316","41","B-16","B260A","Outdoor","Howard Pool","B260","B260A-POOL-0018","POLYGON ((-73.90900508285162 40.672752715663066, -73.90896672683556 40.67259063933419, -73.90870063922735 40.672627143406984, -73.90873899343507 40.672789219822945, -73.90900508285162 40.672752715663066))","Intermediate"
"B","316","41","B-16","B260A","Outdoor","Howard Wading Pool","B260","B260A-POOL-0017","POLYGON ((-73.9091915745718 40.67261503909529, -73.90917878829842 40.67256101427363, -73.90907235338429 40.67257561581264, -73.90908513839153 40.67262964064511, -73.9091915745718 40.67261503909529))","Wading"
"X","204","16","X-04","X008","Outdoor","Claremont Pool","X008-ZN03","X008-POOL-0014","POLYGON ((-73.90773198458734 40.838955791663395, -73.90752508938952 40.838904333836595, -73.90744187967283 40.839097305066296, -73.9074623613331 40.839102399385524, -73.90764877540643 40.839148763040676, -73.90773198458734 40.838955791663395))","Intermediate"
"M","103","2","M-03","M270","Outdoor","Dry Dock Wading Pool","M270","M270-POOL-0034","POLYGON ((-73.97579930374143 40.725543549318445, -73.97585404672981 40.725470018035516, -73.97579204489763 40.72544086544297, -73.97573729831348 40.72551439759648, -73.97579930374143 40.725543549318445))","Wading"
"M","111","8","M-11","M273","Outdoor","Wagner Pool","M273","M273-POOL-0036","POLYGON ((-73.93334946811149 40.802103076918904, -73.9334805391024 40.80192230898802, -73.93329023554648 40.801839312571566, -73.93316312779956 40.80202158912163, -73.93334946811149 40.802103076918904))","Intermediate"
"M","111","8","M-11","M273","Outdoor","Wagner Wading Pool","M273","M273-POOL-0035","POLYGON ((-73.93302432784478 40.80199890333167, -73.93306405139991 40.801938645190624, -73.93298872559491 40.80190394031429, -73.93294701977241 40.80196268984113, -73.93302432784478 40.80199890333167))","Wading"
"M","109","7","M-09","M190","Outdoor","Sheltering Arms Wading Pool","M190","M190-POOL-0028","POLYGON ((-73.95551277636574 40.815024892848065, -73.95554342214629 40.81497219046837, -73.95544753546426 40.81493184360374, -73.95541485083173 40.81498299361338, -73.95551277636574 40.815024892848065))","Wading"
"M","103","2","M-03","M270","Outdoor","Dry Dock Pool","M270","M270-POOL-0033","POLYGON ((-73.97566986204664 40.72538533681168, -73.97543096731624 40.725285380001544, -73.97532512901219 40.72542827896992, -73.97556037398954 40.72553378596092, -73.97566986204664 40.72538533681168))","Intermediate"
"B","307","38","B-07","B087","Outdoor","Sunset Park Pool","B087","B087-POOL-0009","POLYGON ((-74.00262716235832 40.64678917132922, -74.0020731905407 40.64732219644557, -74.00207353051307 40.647343345099806, -74.00250050739788 40.64759870814173, -74.00253004796451 40.64759688214618, -74.00308028139811 40.647067450713415, -74.00307840306108 40.64704839040352, -74.00264788168121 40.64678880794534, -74.00262716235832 40.64678917132922))","Olympic"
"R","501","49","R-01","R043","Outdoor","Lyons Pool","R043","R043-POOL-0002","POLYGON ((-74.07448680352849 40.63737356321421, -74.07444616147636 40.637114986557044, -74.07387299080835 40.637167266639075, -74.07391363303657 40.63742584439633, -74.07448680352849 40.63737356321421))","Olympic"
